bookId;title;author;Author l-f;Additional Authors;Isbn;Iisbn13;myRating;averageRating;publisher;Binding;numberOfPages;yearPublished;originalPublicationYear;dateRead;dateAdded;bookshelves;Bookshelves with positions;exclusiveShelf;My Review;Spoiler;Private Notes;Read Count;Owned Copies
57674489;Projekt Hail Mary;Andy Weir;Weir, Andy;Radosław Madejski;8328716801;9788328716803;5;4.51;Akurat;Paperback;512;2021;2021;2022/06/23;2021/06/25;;;read;;;;1;0
61213891;Zorganizuj się w kuchni. Jak sprytnie ogarnąć zakupy, planowanie posiłków i zdrowe jedzenie;Elwira Rogoda;Rogoda, Elwira;;;9788366587472;0;3.35;Wydawnictwo Pełne Czasu;Hardcover;207;2022;;;2022/06/21;to-read;to-read (#198);to-read;;;;0;0
54704258;Betonoza. Jak się niszczy polskie miasta;Jan Mencwel;Mencwel, Jan;Jakub Szafrański;8366586251;9788366586253;0;4.10;Wydawnictwo Krytyki Politycznej;Paperback;341;2020;2020;;2022/06/21;to-read;to-read (#197);to-read;;;;0;0
51014619;Good Economics for Hard Times: Better Answers to Our Biggest Problems;Abhijit V. Banerjee;Banerjee, Abhijit V.;Esther Duflo;;;0;4.23;PublicAffairs;Kindle Edition;417;2019;2019;;2022/06/15;to-read;to-read (#196);to-read;;;;0;0
41881472;The Psychology of Money;Morgan Housel;Housel, Morgan;;;;5;4.35;Harriman House;Paperback;252;2020;2020;2022/05/23;2021/07/08;;;read;;;;1;0
57478135;Design Patterns for High-Quality Automated Tests: Clean Code for Bulletproof Tests;Anton Angelov;Angelov, Anton;;;;0;4.56;;Kindle Edition;348;2021;2021;;2022/05/20;to-read;to-read (#195);to-read;;;;0;0
52347079;Design Patterns for High-Quality Automated Tests: High-Quality Test Attributes and Best Practices;Anton Angelov;Angelov, Anton;;;;0;4.31;;Kindle Edition;316;2020;;;2022/05/20;to-read;to-read (#194);to-read;;;;0;0
28257707;The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;Mark Manson;Manson, Mark;;;;4;3.90;Harper;Paperback;212;2016;2016;2022/05/18;2021/07/19;;;read;;;;1;0
42739858;Web Component Essentials: An introduction to creating reusable user interfaces with Web Components.;Cory Rylan;Rylan, Cory;;;;0;4.75;;Kindle Edition;;2018;;;2022/04/10;to-read;to-read (#193);to-read;;;;0;0
50514881;Chiny 5.0. Jak powstaje cyfrowa dyktatura;Kai Strittmatter;Strittmatter, Kai;Agnieszka Gadzała;8328072653;9788328072657;5;4.16;Wydawnictwo W.A.B.;Paperback;400;2020;2018;2022/04/08;2022/02/15;;;read;;;;1;0
44668242;Taśmy rodzinne;Maciej Marcisz;Marcisz, Maciej;;8328066254;9788328066250;3;3.71;Wydawnictwo W.A.B.;Paperback;320;2019;2019;2022/04/02;2021/01/20;;;read;;;;1;0
60104167;User Friendly. Jak niewidoczne zasady projektowania zmieniają nasze życie, pracę i rozrywkę;Cliff Kuang;Kuang, Cliff;Robert Fabricant, Dawid Czech;8367016009;9788367016001;0;4.15;Karakter;Hardcover;416;2022;2019;;2022/03/28;to-read;to-read (#192);to-read;;;;0;0
42348818;The Book You Wish Your Parents Had Read [and Your Children Will Be Glad That You Did];Philippa Perry;Perry, Philippa;;;;0;4.12;Penguin;Kindle Edition;240;2020;2019;;2022/03/28;to-read;to-read (#191);to-read;;;;0;0
50997029;How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self;Nicole LePera;LePera, Nicole;;0063012103;9780063012103;0;4.14;Harper Wave;ebook;320;2021;2021;;2022/03/28;to-read;to-read (#190);to-read;;;;0;0
57577795;Ekonomia obwarzanka. Siedem sposobów myślenia o ekonomii XXI wieku;Kate Raworth;Raworth, Kate;Aleksandra Paszkowska;8366586685;9788366586680;0;4.19;Wydawnictwo Krytyki Politycznej;Hardcover;448;2021;2017;;2022/03/28;to-read;to-read (#189);to-read;;;;0;0
59234191;Nadchodzi III wojna światowa. Czy Ameryka porzuci Polskę na pastwę Rosji?;Piotr Zychowicz;Zychowicz, Piotr;Jacek Bartosiak;8381883547;9788381883542;5;3.96;Dom Wydawniczy Rebis;Paperback;320;2021;2021;2022/03/20;2021/12/14;;;read;;;;1;0
51918553;Ochotnik;Jack Fairweather;Fairweather, Jack;Arkadiusz Romanek;8324078010;9788324078011;5;4.33;Znak Horyzont;Paperback;512;2020;2019;2022/03/14;2021/05/12;;;read;;;;1;0
20411325;Nawyk samodyscypliny. Zaprogramuj wewnętrznego stróża;Neil A. Fiore;Fiore, Neil A.;Małgorzata Głogowska;8324664467;9788324664467;4;3.87;Wydawnictwo Sensus;Paperback;224;2008;1988;2022/03/08;2021/06/28;;;read;;;;1;0
60146561;Programistą być;Mateusz Rus;Rus, Mateusz;;;;5;5.00;Mateusz Rus;;280;2021;;2022/03/02;2022/02/09;;;read;;;;1;0
58837889;Metoda czarnej skrzynki. Zaskakująca prawda o nauce na błędach;Matthew Syed;Syed, Matthew;;8366575888;9788366575882;0;4.29;Insignis;Paperback;456;2021;2015;;2021/06/05;to-read;to-read (#87);to-read;;;;0;0
58483537;Sakrament obłudy: Wspomnienia z seminarium;Robert Samborski;Samborski, Robert;;836658691X;9788366586918;3;3.43;Wydawnictwo Krytyki Politycznej;Paperback;280;2021;2021;2022/02/15;2021/10/28;;;read;;;;1;0
49569941;Inteligencja sztuczna, rewolucja prawdziwa. Chiny, USA i przyszłość świata;Kai-Fu Lee;Lee, Kai-Fu;Krzysztof Hejwowski;8380086619;9788380086616;0;4.10;Media Rodzina;Paperback;400;2019;2018;;2022/02/15;to-read;to-read (#188);to-read;;;;0;0
1786141;Milczenie owiec;Thomas  Harris;Harris, Thomas;Andrzej Szulc;8385079211;;0;4.24;Amber;Paperback;334;1990;1988;;2022/02/08;to-read;to-read (#187);to-read;;;;0;0
53256552;Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem;Nassim Nicholas Taleb;Taleb, Nassim Nicholas;Olga Siara;;;4;3.96;Zysk i S-ka;Paperback;698;2020;2007;2022/02/07;2021/06/13;;;read;;;;1;0
43434332;Dlaczego śpimy. Odkrywanie potęgi snu i marzeń sennych;Matthew Walker;Walker, Matthew;Jacek Konieczny;8365973847;9788365973849;0;4.38;Marginesy;Hardcover;389;2019;2017;;2021/06/30;to-read;to-read (#125);to-read;;;;0;0
8087354;Mężczyzna który pomylił swoją żonę z kapeluszem;Oliver Sacks;Sacks, Oliver;Barbara Lindenberg;;9789375062717;0;4.06;Zysk i S-ka;Paperback;304;2009;1985;;2022/01/23;to-read;to-read (#185);to-read;;;;0;0
57873872;Ekstremista (Gerard Edling, #3);Remigiusz Mróz;Mróz, Remigiusz;;8381954789;9788381954785;4;3.89;Filia;Paperback;464;2021;2021;2022/01/26;2021/05/24;;;read;;;;1;0
52962238;Principles For Dealing With the Changing World Order: Why Nations Succeed and Fail;Ray Dalio;Dalio, Ray;;1982160276;9781982160272;0;4.29;Avid Reader Press / Simon & Schuster;Hardcover;576;2021;2021;;2022/01/23;to-read;to-read (#186);to-read;;;;0;0
59756617;Gorsze. Jak nauka pomyliła się co do kobiet;Angela Saini;Saini, Angela;Hanna Pustuła-Lewicka;8381913934;9788381913935;0;4.06;Czarne;Hardcover;344;2022;2017;;2022/01/18;to-read;to-read (#184);to-read;;;;0;0
